Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,wholeAddressShotgun
1500379,"September 7, 2019",Colorado,Greeley,1700 block of 18th Ave,0,0,"1700 block of 18th Ave, Greeley, Colorado"
1501670,"September 7, 2019",Texas,Granbury,800 block of Ports O'Call Dr,1,0,"800 block of Ports O'Call Dr, Granbury, Texas"
1499171,"September 6, 2019",New York,Jamestown,320 Newland Ave,0,0,"320 Newland Ave, Jamestown, New York"
1510502,"September 6, 2019",North Carolina,Kinston,N/A,0,0,"N/A, Kinston, North Carolina"
1498874,"September 6, 2019",Indiana,Indianapolis,3030 N Colorado Ave,2,0,"3030 N Colorado Ave, Indianapolis, Indiana"
1497952,"September 5, 2019",Arizona,Chandler,5000 W Chandler Blvd,0,0,"5000 W Chandler Blvd, Chandler, Arizona"
1499305,"September 5, 2019",Indiana,South Bend,50000 block of Mayflower Rd,0,0,"50000 block of Mayflower Rd, South Bend, Indiana"
1497532,"September 5, 2019",Pennsylvania,New Millport,Oak Ridge Rd,0,0,"Oak Ridge Rd, New Millport, Pennsylvania"
1502179,"September 5, 2019",Maryland,Sunderland,Kent Rd and Solomons Island Rd N,0,0,"Kent Rd and Solomons Island Rd N, Sunderland, Maryland"
1509343,"September 4, 2019",Ohio,Cincinnati (Springdale),12185 Princeton Pike,0,0,"12185 Princeton Pike, Cincinnati (Springdale), Ohio"
1538898,"September 3, 2019",Iowa,Cedar Falls,710 W Seerley Blvd,0,0,"710 W Seerley Blvd, Cedar Falls, Iowa"
1495092,"September 2, 2019",Texas,Houston,4100 block of Beran Dr,0,1,"4100 block of Beran Dr, Houston, Texas"
1497833,"September 2, 2019",Mississippi,Oxford,Cedarcrest Dr,0,0,"Cedarcrest Dr, Oxford, Mississippi"
1511492,"September 1, 2019",Wisconsin,Outagamie (county),N/A,1,0,"N/A, Outagamie (county), Wisconsin"
1500155,"September 1, 2019",South Carolina,Saint Matthews,Harry C Raysor Dr,0,0,"Harry C Raysor Dr, Saint Matthews, South Carolina"
1497965,"August 31, 2019",Michigan,Saginaw,3632 Hess Ave,0,0,"3632 Hess Ave, Saginaw, Michigan"
1496148,"August 31, 2019",Pennsylvania,Mount Bethel,600 block of Belvidere Corner Rd,0,0,"600 block of Belvidere Corner Rd, Mount Bethel, Pennsylvania"
1497545,"August 31, 2019",Pennsylvania,Plymouth Meeting,2430 Chemical Rd,0,0,"2430 Chemical Rd, Plymouth Meeting, Pennsylvania"
1494407,"August 31, 2019",Florida,Ocala,1200 Block of NW 13th Ave,0,0,"1200 Block of NW 13th Ave, Ocala, Florida"
1491488,"August 30, 2019",Georgia,Mc Caysville,160 Briggs St,0,0,"160 Briggs St, Mc Caysville, Georgia"
1496256,"August 30, 2019",Texas,Abilene,800 block of Grape St,0,0,"800 block of Grape St, Abilene, Texas"
1574120,"August 30, 2019",Nevada,Spring Creek,Boyd-Kennedy Rd,0,0,"Boyd-Kennedy Rd, Spring Creek, Nevada"
1495514,"August 30, 2019",Pennsylvania,Lancaster,Fruitville Pike and Fairland Rd,0,0,"Fruitville Pike and Fairland Rd, Lancaster, Pennsylvania"
1492958,"August 30, 2019",Delaware,Wilmington,2700 block of Washington St,0,0,"2700 block of Washington St, Wilmington, Delaware"
1491275,"August 29, 2019",Florida,Weirsdale,15000 block of SE Co Rd 42,1,0,"15000 block of SE Co Rd 42, Weirsdale, Florida"
1492394,"August 29, 2019",South Carolina,Hartsville,Patrick Hwy and N 5th St,0,0,"Patrick Hwy and N 5th St, Hartsville, South Carolina"
1490381,"August 28, 2019",Texas,Lubbock,4300 block of E 63rd St,0,0,"4300 block of E 63rd St, Lubbock, Texas"
1490639,"August 28, 2019",Pennsylvania,Avella,Camp Ground Rd,0,1,"Camp Ground Rd, Avella, Pennsylvania"
1490218,"August 28, 2019",Ohio,Cleveland,4600 block of W 41st St,1,0,"4600 block of W 41st St, Cleveland, Ohio"
1490765,"August 28, 2019",Ohio,Youngstown,Almyra Ave,0,0,"Almyra Ave, Youngstown, Ohio"
1489883,"August 28, 2019",North Carolina,Monroe,5211 Old Charlotte Hwy,0,0,"5211 Old Charlotte Hwy, Monroe, North Carolina"
1489893,"August 28, 2019",North Carolina,High Point,1 N University Pkwy,0,0,"1 N University Pkwy, High Point, North Carolina"
1491431,"August 28, 2019",Wyoming,Casper,First St,0,0,"First St, Casper, Wyoming"
1490312,"August 27, 2019",Missouri,Jefferson City,5200 block of Shadow Ct,0,0,"5200 block of Shadow Ct, Jefferson City, Missouri"
1492375,"August 27, 2019",South Carolina,Lexington,5643 Platt Springs Rd,0,0,"5643 Platt Springs Rd, Lexington, South Carolina"
1490711,"August 27, 2019",Kansas,Wichita,1100 block of N Amidon St,0,0,"1100 block of N Amidon St, Wichita, Kansas"
1493482,"August 27, 2019",Minnesota,Albert Lea,614 Water St,0,0,"614 Water St, Albert Lea, Minnesota"
1490453,"August 27, 2019",Texas,Abilene,1150 E S 11th St,0,0,"1150 E S 11th St, Abilene, Texas"
1490515,"August 26, 2019",Virginia,Warrenton,5042 Old Auburn Rd,0,1,"5042 Old Auburn Rd, Warrenton, Virginia"
1489651,"August 26, 2019",Alabama,Enterprise,3000 block of Rucker Blvd,2,0,"3000 block of Rucker Blvd, Enterprise, Alabama"
1488638,"August 26, 2019",Pennsylvania,Gordon,604 Hobart St,0,1,"604 Hobart St, Gordon, Pennsylvania"
1487934,"August 25, 2019",New York,Brooklyn,1937 85th St,1,0,"1937 85th St, Brooklyn, New York"
1487791,"August 24, 2019",New York,Mayfield,2481 NY-30,0,0,"2481 NY-30, Mayfield, New York"
1488256,"August 24, 2019",Indiana,Terre Haute,2237 3rd Ave,0,0,"2237 3rd Ave, Terre Haute, Indiana"
1486868,"August 24, 2019",Florida,Coconut Creek,4200 block of NW 57th Dr,1,0,"4200 block of NW 57th Dr, Coconut Creek, Florida"
1498199,"August 24, 2019",Maryland,Great Mills,19700 block of Flat Iron Rd,0,0,"19700 block of Flat Iron Rd, Great Mills, Maryland"
1502066,"August 24, 2019",Montana,Anaconda,500 block of E 3rd St,0,0,"500 block of E 3rd St, Anaconda, Montana"
1491138,"August 23, 2019",New York,Buffalo (Williamsville),Main St,0,0,"Main St, Buffalo (Williamsville), New York"
1489287,"August 23, 2019",New Jersey,Newark,84 Monroe St,0,0,"84 Monroe St, Newark, New Jersey"
1487315,"August 22, 2019",New York,Jefferson,N/A,0,0,"N/A, Jefferson, New York"
1485528,"August 22, 2019",Tennessee,Charleston,Upper River Rd NE,0,0,"Upper River Rd NE, Charleston, Tennessee"
1489226,"August 22, 2019",Maine,Rockport,Mount Pleasant Street,0,0,"Mount Pleasant Street, Rockport, Maine"
1487718,"August 22, 2019",Iowa,Waterloo,1112 Grant St,0,0,"1112 Grant St, Waterloo, Iowa"
1486239,"August 22, 2019",Illinois,Rockford,N/A,0,0,"N/A, Rockford, Illinois"
1736927,"August 21, 2019",Nevada,Carson City,Alouette Way,0,0,"Alouette Way, Carson City, Nevada"
1485122,"August 20, 2019",Michigan,Alma,W Tyler Rd,0,1,"W Tyler Rd, Alma, Michigan"
1486282,"August 20, 2019",North Carolina,Thomasville,Liberty Dr and Dianna Dr,0,0,"Liberty Dr and Dianna Dr, Thomasville, North Carolina"
1489849,"August 20, 2019",South Carolina,Santee,500 Block of Resort St,0,0,"500 Block of Resort St, Santee, South Carolina"
1484491,"August 20, 2019",Florida,Lake City,556 SW FL 47,0,0,"556 SW FL 47, Lake City, Florida"
1483522,"August 20, 2019",Ohio,Columbus,3820 Cleveland Ave,0,0,"3820 Cleveland Ave, Columbus, Ohio"
1484152,"August 19, 2019",Texas,Dayton,Parish Cir,0,0,"Parish Cir, Dayton, Texas"
1483333,"August 19, 2019",Missouri,Jefferson City,1000 block of Elizabeth St,0,0,"1000 block of Elizabeth St, Jefferson City, Missouri"
1488993,"August 18, 2019",New Jersey,Rockaway,Telemark Rd,0,0,"Telemark Rd, Rockaway, New Jersey"
