Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,wholeAddressRifle
1480064,13-Aug-19,New Jersey,Secaucus,NJ 3,0,0,"NJ 3, Secaucus, New Jersey"
1479844,13-Aug-19,Nebraska,Lincoln,1225 S 2nd St,0,0,"1225 S 2nd St, Lincoln, Nebraska"
1477758,13-Aug-19,West Virginia,Surveyor,Griffith Hollow Rd,0,0,"Griffith Hollow Rd, Surveyor, West Virginia"
1477890,13-Aug-19,Kansas,Kansas City,Village West Pky and State Ave,2,0,"Village West Pky and State Ave, Kansas City, Kansas"
1481456,13-Aug-19,New York,Syracuse,311 Lexington Ave,0,0,"311 Lexington Ave, Syracuse, New York"
1478328,13-Aug-19,South Dakota,Wounded Knee,N/A,0,0,"N/A, Wounded Knee, South Dakota"
1477102,12-Aug-19,Michigan,Saginaw,2200 block of S Niagara St,0,1,"2200 block of S Niagara St, Saginaw, Michigan"
1476893,12-Aug-19,Kansas,Chetopa,1100 block of Cherry St,1,0,"1100 block of Cherry St, Chetopa, Kansas"
1477182,12-Aug-19,California,Riverside,I-215 and Eastridge Ave,2,2,"I-215 and Eastridge Ave, Riverside, California"
1478581,12-Aug-19,Maine,Readfield,ME 117,0,0,"ME 117, Readfield, Maine"
1477060,12-Aug-19,Illinois,Chicago,820 S Damen Ave,0,0,"820 S Damen Ave, Chicago, Illinois"
1476963,11-Aug-19,Indiana,Gary,5200 block of E 13th Pl,1,1,"5200 block of E 13th Pl, Gary, Indiana"
